name,pointsource,description,digitalset,engunits,exdesc,future,pointtype,ptclassname,sourcetag,archiving,compressing,span,step,zero,changedate,changer,creationdate,creator,pointid,instrumentag
,R,,,,,0,Float32,classic,,1,0,30,1,2,01/08/2018 21:08:08,RDXPISANDBOX\zachary.burke,22/07/2018 02:57:15,RDXPISANDBOX\zachary.burke,49,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:33,piadmin,10/12/2019 19:02:33,piadmin,1321,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:33,piadmin,10/12/2019 19:02:33,piadmin,1320,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1334,
,PICampaign-InternalUse-1,,,,,0,String,base,,1,0,100,1,0,10/07/2018 14:09:56,piadmin,10/07/2018 14:09:56,piadmin,13,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 21:57:44,piadmin,21/11/2019 21:57:44,piadmin,1252,
,L,,,,,0,Float64,base,,1,1,100,0,0,21/11/2019 21:57:44,piadmin,21/11/2019 21:57:44,piadmin,1253,
,L,,,,,0,Float32,classic,,1,1,100,0,0,30/10/2018 14:38:58,RDXPISANDBOX\zachary.burke,30/10/2018 14:38:58,RDXPISANDBOX\zachary.burke,465,
,PITransferRecords-InternalUse-1,,,,,0,String,base,,1,0,100,1,0,10/07/2018 14:09:56,piadmin,10/07/2018 14:09:56,piadmin,12,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1338,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1340,
,L,,,,,0,Float64,base,,1,1,100,0,0,10/12/2019 19:02:34,piadmin,10/12/2019 19:02:34,piadmin,1342,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,418,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,335,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,320,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,253,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,220,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,157,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,116,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,420,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,341,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,292,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,262,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,211,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,171,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,112,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,411,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,362,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,286,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,234,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,180,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,126,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,110,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,422,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,333,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,318,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,249,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,207,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,146,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,90,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,385,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,364,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,315,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,273,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,209,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,175,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,109,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,395,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,359,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,321,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,252,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,202,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,138,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,108,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,403,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,375,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,282,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,269,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,208,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,154,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,120,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,423,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,353,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,283,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,238,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,215,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,141,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,122,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,383,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,368,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,319,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,235,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,187,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,127,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,107,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,405,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,366,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,313,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,251,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,223,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,172,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,117,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:10,RDXPISANDBOX\zachary.burke,425,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,328,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,277,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,255,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,224,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:07,RDXPISANDBOX\zachary.burke,161,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:27,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:06,RDXPISANDBOX\zachary.burke,115,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:30,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,388,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,374,
,R,,,,,0,Float32,classic,,1,1,1,0,0,16/08/2018 20:30:29,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:09,RDXPISANDBOX\zachary.burke,317,
,R,,,,,0,Float32,classic,,1,1,100,0,0,16/08/2018 20:30:28,RDXPISANDBOX\zachary.burke,16/08/2018 20:04:08,RDXPISANDBOX\zachary.burke,275,
